Title,Abstract,Citations
EEG-based brain-computer interfaces: a novel neurotechnology and computational intelligence method,This article presents the latest BCI-related research done in our group. Our previous work applied computational intelligence technology in BCIs to inspire detailed investigations of …,36
The impact of neurotechnology on rehabilitation,"This paper present results of a multi-disciplinary project that is developing a microchip-based neural prosthesis for the hippocampus, a region of the brain responsible for the formation …",26
The promise of neurotechnology in clinical translational science,"Neurotechnology is broadly defined as a set of devices used … technical and methodological, of neurotechnology in the context of … the necessary features of neurotechnology in the clinic. …",25
Is the European Data Protection Regulation sufficient to deal with emerging data concerns relating to neurotechnology?,Research-driven technology development in the fields of the neurosciences presents interesting and potentially complicated issues around data in general and brain data specifically. …,21
Neurotechnology ethics and relational agency,"… of themselves through interaction with neurotechnology. Reviewing the literature, … neurotechnology, we suggest that philosophers may use the insights gleaned from neurotechnology …",9
Concerns in the blurred divisions between medical and consumer neurotechnology,"… tings, recent advancements in neurotechnology have yielded … to the rise of wearable neurotechnology that is marketed to the … Here, we characterize neurotechnology based on medical …",9
Engineering Materials for Neurotechnology,Neurotechnology applies methods and devices to mitigate the … Materials play a pivotal role in neurotechnology. Advanced … for materials engineering applied to neurotechnology. …,0
Transhumanism and the wisdom of old genes is neurotechnology as source of future happiness?,Technological progress seems to open ways for redesigning the human organism. This means that the affective system that is built into the brain by evolution can be redesigned with …,40
"Neurotechnology, invasiveness and the extended mind","According to a standard view, the physical boundary of the person—the skin-and-skull boundary—matters morally because this boundary delineates between where the person begins …",36
Use of geoinformation and neurotechnology to assess and to forecast the humus content variations in the steppe soils,"This paper reports the results obtained using the systemic basin approach, geoinformation, and neurotechnology for modeling and forecasting of the humus spatial inhomogeneity and …",31
A national network of neurotechnology centers for the BRAIN initiative,"… , national network of neurotechnology centers, devoted to the … as important elements for future neurotechnology, we believe that … a network of neurotechnology centers can ensure the …",27
Estimated prevalence of the target population for brain-computer interface neurotechnology in the Netherlands,Background. People who suffer from paralysis have difficulties participating in society. Particularly burdensome is the locked-in syndrome (LIS). LIS patients are not able to move and …,24
"Brain recording, mind-reading, and neurotechnology: ethical issues from consumer devices to brain-based speech decoding","… as a point of reference for ethical concerns surrounding neurotechnology, we can ask of the … of neurotechnology, something should be said about the presentation of neurotechnology. …",21
Dual-use nano-neurotechnology: an assessment of the implications of trends in science and technology,"The chemical and biological nonproliferation regime stands at a watershed moment, when failure seems a real possibility. After the unsuccessful outcome of the 2016 Eighth Review …",19
"Correcting the brain? The convergence of neuroscience, neurotechnology, psychiatry, and artificial intelligence","The incorporation of neural-based technologies into psychiatry offers novel means to use neural data in patient assessment and clinical diagnosis. However, an over-optimistic …",18
New cognitive neurotechnology facilitates studies of cortical–subcortical interactions,"Most of the studies employing neuroimaging have focused on cortical and subcortical signals individually to obtain neurophysiological signatures of cognitive functions. However, …",11
Emulating future neurotechnology using magic,Recent developments in neuroscience and artificial intelligence have allowed machines to decode mental processes with growing accuracy. Neuroethicists have speculated that …,0
"An early-and necessary-flight of the owl of Minerva: neuroscience, neurotechnology, human socio-cultural boundaries, and the importance of neuroethics","… use of neuroscience and neurotechnology for national security and … Indeed, neuroscience and neurotechnology are affecting … we view neuroscience and neurotechnology as the latest …",47
Neurotechnology for image analysis: Searching for needles in haystacks efficiently,Timely and efficient processing of complex imagery is a vital aspect of important domains such as intelligence image analysis. As technological developments lower the cost of …,29
Wireless kinematic body sensor network for low-cost neurotechnology applications “in-the-wild”,"We present an ultra-portable and low-cost body sensor network (BSN), which enables wireless recording of human motor movement kinematics and neurological signals in …",29
Closing the loop between neurons and neurotechnology,"Brain-machine interfaces (BMIs, or braincomputer interfaces, BCIs) have caused a lot of excitement in the past few years; they promise to make the lame walk, the mute talk, the blind see…",20
Neuroethics inside and out: A comparative survey of neural device industry representatives and the general public on ethical issues and principles in neurotechnology,Neurotechnologies are rapidly being developed with the aim of alleviating suffering caused by disease and assisting individuals with various disabilities. As the capabilities and …,14
Fostering the trustworthiness of researchers: SPECS and the role of ethical reflexivity in novel neurotechnology research,"… By novel neurotechnology, we refer to the varieties of electronic devices that interact with an … The advancement of novel neurotechnology research requires that people put trust in …",7
Future of smart classroom in the era of wearable neurotechnology,"… neurotechnology in adaptive human-in-the-loop smart systems. Considering these advances, we envision that future education will exploit the advances in wearable neurotechnology …",4
"Assessment of mapping the brain, a novel research and neurotechnology based approach for the modern neuroscience classroom","… and assessed a neurotechnology CURE, Mapping the Brain. … article analysis and neurotechnology assessment. Our … of authentic research and a neurotechnology focus, Mapping …",3
Public attitudes towards neurotechnology: Findings from two experiments concerning brain stimulation devices (BSDs) and brain-computer interfaces (BCIs),"This study contributes to the emerging literature on public perceptions of neurotechnological devices (NTDs) in their medical and non-medical applications, depending on their …",2
AI and Neurotechnology: Learning from AI Ethics to Address an Expanded Ethics Landscape,"… Yet, this assumption may no longer be a certainty with advances in neurotechnology. Furthermore, the fact that some neurotech can directly modify ongoing neural activity and …",1
"Neuroscience, neurotechnology, and national security: The need for preparedness and an ethics of responsible action","We concur with Jonathan Marks (2010) that brain science can and will continue to be employed in military, and other national defense/security applications. We also concur that recent …",23
"Clinical, hemispheric, and autonomic changes associated with use of closed-loop, allostatic neurotechnology by a case series of individuals with self-reported …","The objective of this pilot study was to explore the use of a closed-loop, allostatic, acoustic stimulation neurotechnology for individuals with self-reported symptoms of post-traumatic …",22
Peanut: Personalised emotional agent for neurotechnology user-training,"Mental-Imagery based Brain-Computer Interfaces (MI-BCI) are neurotechnologies enabling users to control applications using their brain activity alone. Although promising, they are …",16
Neurotechnology and direct brain communication: new insights and responsibilities concerning speechless but communicative subjects,"Neurotechnology and Direct Brain Communication focuses … The prospective use of neurotechnology to access mental … issues, investigating the tools neurotechnology offers to care …",12
Coping with Brain Disorders using Neurotechnology.,"… ) has even spawned a new industry, neurotechnology, that now rivals in growth and … rather more neurotechnology— with a twist (7). This has been to insert the use of neurotechnology in …",12
Direct-to-consumer neurotechnology: What is it and what is it for?,"… But if everything is neurotechnology then nothing is. … a broad definition of DTC neurotechnology, like the one proposed … narrow definition that restricts the neurotechnology label …",10
Pilot trial of a noninvasive closed-loop neurotechnology for stress-related symptoms in law enforcement: improvements in self-reported symptoms and …,"Background Law enforcement officers have decreased life expectancy, attributed to work-related exposure to traumatic stress and circadian disruption. Autonomic dysregulation is …",10
The market for neurotechnology,"… That field is what we call neurotechnology. Unlike the field of … complex biological molecules, neurotechnology is concerned with … Some of the very early firms in the neurotechnology field …",8
Advancing the adoption of virtual reality and neurotechnology to improve flight training,"… neurotechnology to … neurotechnology in objective measurement of training progress and providing real-time feedback during VR flight tasks. Overall, VR combined with neurotechnology …",4
Neurotechnology and international security: Predicting commercial and military adoption of brain-computer interfaces (BCIs) in the United States and China,"In the past decade, international actors have launched “brain projects” or “brain initiatives.” One of the emerging technologies enabled by these publicly funded programs is brain-…",4
Neurotechnology to accelerate learning: during marksmanship training,"This article explores the psychophysiological metrics during expert and novice performances in marksmanship, combat deadly force judgment and decision making (DFJDM), and …",22
Successful use of closed-loop allostatic neurotechnology for post-traumatic stress symptoms in military personnel: self-reported and autonomic improvements,… We hypothesized that use of the neurotechnology would be followed by reductions in self-reported PTSD-related symptomatology as well as improvements in HRV and BRS. For a …,22
Motor imagery with brain-computer interface neurotechnology,A brain-computer interface (BCI) analyzes brain activity in real-time to convey information or control an external device. BCI systems often consist of a biosignal amplifier for EEG data …,15
Conditions for consent to the use of neurotechnology: a preparatory neuroethical approach to risk assessment and reduction,New developments in deep brain stimulation (DBS) enable both open-and closed-loop modulation of brain structures and functions that are important to the clinical treatment of a …,14
Concerning the challenge of neurotechnology,… The emerging field of neurotechnology deals with … Neurotechnology requires the development of adaptive pulse-… reasons to start a joint effort in the field of neurotechnology. …,9
Can BCIs enlighten the concept of agency? A plea for an experimental philosophy of neurotechnology,"… Simply put: neurotechnology can create conditions … neurotechnology on the experience of ownership of action (eg, as expressed in verbal reports). Thus, we are using neurotechnology, …",5
Neurotechnology and AI approach for early dementia onset biomarker from EEG in emotional stimulus evaluation task,We present an efficient utilization of a machine learning (ML) method concentrating on the ‘AI for social good’ application. We develop a digital dementia biomarker for early-onset …,5
Ethical challenges in the commercialization of neurotechnology: contending with competing priorities,… industry that can undermine scientific values and unduly shape scientific neurotechnology … that the neurotechnology industry faces. We also note opportunities for the neurotechnology …,2
Multilayer Arrays for Neurotechnology Applications (MANTA): Chronically Stable Thin‐Film Intracortical Implants,"… major challenges of implantable neurotechnology, namely the … chronic stability of implantable neurotechnology. The probes … relying on neurotechnology to interface the human brain. …",0
Ethical Concerns and Perceptions of Consumer Neurotechnology from Lived Experiences of Mental Workload Tracking,… neurotechnology will be commonplace in the not-too-distant future. Current available consumer neurotechnology start-… The ethical side of neurotechnology should remain of the utmost …,0
Joint China-Cuba Laboratory for Frontier Research in Translational Neurotechnology,"Using functional resonance imaging (fMRI), we studied the relationship between perceptual organization and network topology within the primary visual cortex (V1). Twenty-six humans (…",21
Design choices for next-generation neurotechnology can impact motion artifact in electrophysiological and fast-scan cyclic voltammetry measurements,Implantable devices to measure neurochemical or electrical activity from the brain are mainstays of neuroscience research and have become increasingly utilized as enabling …,16
"Improvements in heart rate variability, baroreflex sensitivity, and sleep after use of closed-loop allostatic neurotechnology by a heterogeneous cohort","… Recently, a self-care configuration (Braintellect-2 ® ; Brain State Technologies, Scottsdale, AZ, USA) of the closed-loop allostatic neurotechnology evaluated in this study has been …",15
Neurotechnology as a tool for inducing and measuring altered states of consciousness in transpersonal psychotherapy,"… neurotechnology, this review begins with an introduction to the technologies that made possible the modern neurotechnology … and applications of neurotechnology for inducing altered …",13
Weaponising neurotechnology: international humanitarian law and the loss of language,… the significance of neurotechnology for the development of … that would depend on neurotechnology and be integrated into … what extent the impact of neurotechnology on the legality …,10
Technical challenges of active implantable medical devices for neurotechnology,Active Implantable Medical Devices used in Neurotechnology as Brain-Computer Interfaces enable paralyzed patients to recover some degree of movement and speech. Impressive …,8
Standardization of neurotechnology for brain-machine interfacing: state of the art and recommendations,"… BMI-specific standards in this domain should build on existing principles, standards, and regulatory guidelines for medical and information technologies; (3) Existing efforts to improve …",6
Youth weigh in: views on advanced neurotechnology for drug-resistant epilepsy,"Background: Epilepsy affects over 500,000 children in North America of whom 30% have drug-resistant epilepsy. Advancements with neurotechnologies show promising benefits, but …",6
Clinical neuroscience and neurotechnology: An amazing symbiosis,"In the last decades, clinical neuroscience found a novel ally in neurotechnologies, devices able to record and stimulate electrical activity in the nervous system. These technologies …",2
A miniaturized and low-energy subcutaneous optical telemetry module for neurotechnology,Objective. This study presents a proof-of-concept optical telemetry module that leverages a single light-emitting diode (LED) to transmit data at a high bit rate while consuming low …,0
Reduction in menopause-related symptoms associated with use of a noninvasive neurotechnology for autocalibration of neural oscillations,"Objective Increased amplitudes in high-frequency brain electrical activity are reported with menopausal hot flashes. We report outcomes associated with the use of High-resolution, …",13
Introduction-On the need for neurotechnology in the national intelligence and defense agenda: Scope and trajectory,"In light of the recent advances in neuroscience and neurotechnology, we posit that intellectual and empirical commitment to brain science is critical to national security. Moreover, we …",11
The seductive allure of artificial Intelligence-powered Neurotechnology,"Neuroscience explanations-even when completely irrelevant-have been shown to exert a ""seductive allure"" on individuals, leading them to judge bad explanations or arguments more …",8
Wireless neurotechnology for neural prostheses,This chapter outlines the exploratory research by reviewing ongoing neuroengineering research on wireless brain interfaces in non‐human primates (NHPs) through the critical steps …,8
Does neurotechnology produce a better brain?,"… As part of our investigation into neurotechnology’s science and challenges, we identified several drivers in the commercial growth of tES and of neurotechnology in general, including …",6
A translational approach to neurotechnology development,"The past several decades have seen an explosion of meaningful and nuanced insights into the connection between human behavior and the nervous system; however, the translation …",6
Epilepsy through the eyes of the media: a paradox of positive reporting and challenges of access to advanced neurotechnology,"Objective Media coverage of disorders and medical advancements can impact public perception regarding the riskiness, effectiveness, and accessibility of treatment options. We …",5
Reengineering neurotechnology: placing patients first,"Neurotechnologies that measure and modulate brain activity have not yet reached widespread clinical relevance. To accelerate translation into patient care, we propose three strategic …",2
An optogenetics device with smartphone video capture to introduce neurotechnology and systems neuroscience to high school students,"Although neurotechnology careers are on the rise, and … , increasing neuroscience and neurotechnology exposure in high school … of key neuroscience and neurotechnology concepts, …",0
Neurotechnology and the law,"… For example, BrainGate is a US-based multi-institutional research effort to develop and test novel neurotechnology aimed at restoring communication, mobility, and independence. It is …",0
Dysregulation of NEUROG2 plays a key role in focal cortical dysplasia,"Objective Focal cortical dysplasias (FCDs) are an important cause of drug‐resistant epilepsy. In this work, we aimed to investigate whether abnormal gene regulation, mediated by …",24
Transcranial magnetic stimulation for posttraumatic stress disorder and major depression: comparing commonly used clinical protocols,"Transcranial magnetic stimulation (TMS) is increasingly being used to treat posttraumatic stress disorder (PTSD) comorbid with major depressive disorder (MDD). Yet, identifying the …",10
Military Personnel with Traumatic Stress Show Changes in Large-Scale Brain Networks after Use of a Closed-Loop Neurotechnology (P4. 043),"Objective: Evaluate changes in network connectivity on fMRI associated with the use of High-resolution, relational, resonance-based, electroencephalic mirroring (HIRREM®), among …",3
"Abstract P485: use of a noninvasive, closed-loop, allostatic, neurotechnology reduced blood pressure and improved heart rate variability in a pre-hypertensive cohort","Background: Prehypertension increases risk for hypertension and cardiovascular disease, but effective interventions have not been defined. Disturbed central control of cardiovascular …",3
Concepts for Developing and Utilizing Crowdsourcing for Neurotechnology Advancement,"There is a large general interest in the development of brain-computer interactive technologies BCIT, which couple the power of machines with the complexity and flexibility of the …",2
Neurotechnology goes to Polish school. An ethnographic story about scanning ADHD,"In a public primary school in a middle sized Polish town, research was conducted in which a number of children were diagnosed with a new tool for identifying ADHD. This situation …",2
Conclusions and future directions for neurotechnology and brain stimulation treatments in pediatric psychiatric and neurodevelopmental disorders,The chapters in this volume highlight the theoretical promise and preliminary data supporting the use of device-based treatments for pediatric Psychiatric and Neurodevelopmental …,2
Mind-movies: Original authorship as applied to works from mind-reading neurotechnology,"… to incorporate current neurotechnology and any potential neurotechnology of the future67 -… neurotechnology that measures more than the brain's primary visual cortex.Obviously, it is …",2
Neurotechnology and the End of Finitude,"A bold philosophical investigation into technology and the limits of the human A daring, original work of philosophical speculation, Neurotechnology and the End of Finitude mounts a …",1
Performing a Disembodied Mind: Neurotechnology Between Empowerment and Normalization,"Given that a brain-computer interface (BCI) operates by circumventing the peripheral nervous system, ie functions in virtue of one’s mind only, does it exemplify the acting of a …",1
The developing brain—relevance to pediatric Neurotechnology,"Neurostimulation protocols to measure or modulate regional brain excitability are rapidly emerging as research and clinical tools with utility across ages. Clinicians and investigators, in …",1
"Crossing Death Valley: Bringing Neurotechnology to Psychiatric Clinics in Alberta, Canada","Depression is a major public health problem, with a lifetime and 12-month prevalence estimated at 18 and 6% of adults. Depression is costly in terms of treatment and lost productivity …",1
Assessment of Potential Security Threats from Advances in Neurotechnology,"… have paved way to neurotechnology. In this chapter, neurotechnology is used in the context of … The advent of brain imaging started the first of many developments in neurotechnology [3]. …",1
New perspectives in orthopedics: Developments through neurotechnology and metaverse,"The combination of neurotechnology and metaverse holds high potentials for orthopedics, as it offers a broad spectrum of possibilities to overcome the limits of traditional medical care. …",0
"Progress in Clinical Neurosciences, Cognitive Neurosciences, Clinical Psychology, Neurotechnology and Brain Mapping in Malaysia","Last year, there was an increase in the amount of manpower in Malaysia, especially in terms of the numbers of neurosurgeons, cognitive neuroscientists and clinical psychologists. One …",0
"An Introduction to Policy, Identity, and Neurotechnology: The Neuroethics of Brain–Computer Interfaces",Brain–Computer Interface (BCI) technology is a promising and rapidly advancing research area. It was initially developed in the context of early government-sponsored futuristic …,0
Neurotechnology and VR. Compatibility and risks,"Over the past century, technology has tightly entered our daily lives, penetrating into all spheres of society. Developing, they are increasingly changing our usual world and lifestyle. One …",0
Spotlight on Neurotechnology: Building and Mapping Neuronal Networks,"… This year, we are highlighting neurotechnology in a three-part series of special issues … Five years ago, we published our first special issue on neurotechnology. Since then, we have …",0
"Neurotechnology, consent, place, and the ethics of data science genomics in the precision medicine clinic",… A potential neurotechnology intervention is central to our case. Neurotechnology has been … This definition captures key aspects of neurotechnology. The term itself is generally used to …,0
Using neurotechnology in the emergency and safety management for creating a safer work environment.,"… neurotechnology, as well as compares two types of brain-computer interfaces in the neurotechnology … use of the current research findings related to neurotechnology. This study …",0
Accurate nonlinear mapping between MNI volumetric and FreeSurfer surface coordinate systems,"The results of most neuroimaging studies are reported in volumetric (eg, MNI152) or surface (eg, fsaverage) coordinate systems. Accurate mappings between volumetric and surface …",65
Brain connectivity and functional recovery in patients with ischemic stroke,"BACKGROUND Brain mapping studies have demonstrated that functional poststroke brain reorganization is associated with recovery of motor function. Nonetheless, the specific …",48
A 3D printed implantable device for voiding the bladder using shape memory alloy (SMA) actuators,"Underactive bladder or detrusor underactivity (DU) is defined as a reduction of contraction strength or duration of the bladder wall. Despite the serious healthcare implications of DU, …",38
Tract‐specific spinal cord diffusion tensor imaging in Friedreich's ataxia,"Background Spinal cord (SC) damage is a hallmark in Friedreich's ataxia (FRDA). Neuroimaging has been able to capture some SC macroscopic changes, but no study has evaluated …",8
Taking a step back: The ethical significance of DTC neurotechnology,… ethics in the area of DTC neurotechnology. Our point is that any … Is DTC neurotechnology covered by this well-established … Kreitmair’s further observation that DTC neurotechnology may …,3
A Neurotechnology Approach to the Analysis of Electroacoustic Music: A Proposition,"In this paper I propose an approach to the development of technology for the analysis of electroacoustic music, which is referred to as the neurotechnology approach. I propose the …",1
Direct-to-consumer neurotechnology: A grounded appraisal,"… Thus, if one fears that DTC neurotechnology will cause our experience of … neurotechnology is to contribute to human flourishing) and her expansive definition of DTC neurotechnology, …",1
Relational Agency and Neurotechnology: Developing and Deploying Competency through Intricate Partnerships,Timothy Brown’s (2019) piece “Building Intricate Partnerships with Neurotechnology” makes a valuable contribution to ethical discussion of questions about human identity and agency …,1
Neurotechnology: expanding opportunities for funding at the National Institute of Mental Health,The National Institute of Mental Health recognizes the importance that creative development of technology and methodology play in brain and behavioral science research. This institute …,1
Neurotechnology at the OECD: The role of the private sector in governance,"Emerging neurotechnologies offer significant potential for the promotion of health, well-being, and economy. At the same time, neurotechnology raises issues of (brain) data privacy, the …",1
"Foreword: Neurotechnology in National Security, Intelligence and Defense","… The topic of neuroscience and neurotechnology in national security, intelligence and … fraction of the ways that neurotechnology can change the quality and conduct of human affairs. …",1
Direct electromagnetic source tomographic imaging neurotechnology (DESTIN),"One of the techniques that have the greatest chance of being both high impact and disruptive is electroencephalography (EEG) because of the low cost of the device, installation, …",1
"Innovative Vinci Power Nap® Neurotechnology System—To Reset and Reconnect the Senses, Body and Mind; Reducing Stress, Improving Performance, Sleep …",The article discusses the revolutionary system of well-being—The Vinci Power Nap ® and its beneficial role in increasing the quality of life and health of inhabitants in Smart Cities and …,1
"Abstract of"" Ethical, Legal, and Social Issues in Neurotechnology Research: Confronting the Boundaries and Considering the Implications""","In the past decade, neuroscience has become something of a focal point for applications of biotechnologies; the pace of neuroscientific discovery is fueled in part by the synergy of new …",1
Protection NGOs in the Age of Neurotechnology,"… from an understanding of how neurotechnology will impact human rights, … neurotechnology which can record brain activity through electrical currents, and “writing,” neurotechnology…",0
"Neurotechnology, Stakeholders, and Neuroethics: Real Decisions and Trade-Offs from an Insider's Perspective","… For clarity, the word neurotechnology has been introduced to represent all technologies that … type of neurotechnology. For the rest of this paper, we will refer to neurotechnology in the …",0
The Future of AI Ethics and the Role of Neurotechnology,"As scientists and researchers, we are not only called to create and advance technology but also are obliged to ensure that new technology is designed and utilized in ways that are …",0
Cyborg Minds: Analyzing the necessary conditions for testing functionalism through an experimental philosophy of neurotechnology,"… for using a neurotechnology in the Chip Test. I explain that a neurotechnology should fully … Particularly, if a neurotechnology acting as a replacement of a function can lead to distorted …",0
Neurotechnology and Human Rights: Developments Overseas and the Challenge for Australia,… outlines what neurotechnology is and draws attention to developments overseas before arguing that Australian scholars and human rights bodies should address neurotechnology. It …,0
Effects of an Allostatic Closed‐Loop Neurotechnology (HIRREM) on Brain Functional Connectivity Laterality in Military‐Related Traumatic Stress,"BACKGROUND AND PURPOSE Brain asymmetries are reported in posttraumatic stress disorder, but many aspects of laterality and traumatic stress remain underexplored. This study …",0
Intact brain network function in an unresponsive patient with COVID‐19,Many patients with severe coronavirus disease 2019 (COVID‐19) remain unresponsive after surviving critical illness. Although several structural brain abnormalities have been …,51
A prediction algorithm for drug response in patients with mesial temporal lobe epilepsy based on clinical and genetic information,"Mesial temporal lobe epilepsy is the most common form of adult epilepsy in surgical series. Currently, the only characteristic used to predict poor response to clinical treatment in this …",27
Creative music neurotechnology with symphony of minds listening,A better understanding of the musical brain combined with technical advances in biomedical engineering and music technology is pivotal for the development of increasingly more …,1
Simply Paradigm of Da'wah Character In Facing Neurotechnology Era,… in this neurotechnology era. It is a kind of messenger blast technology of AlQur’an in spreading out the messages. According to Vogeley and Gallagher ( 2011) neurotechnology raises …,1
Are We Buying Rationally or Impulsively? What Actually Happen in The Consumer's Mind And What Does Neurotechnology Reveal,"Neuromarketing is complementary to traditional methods which are based on verbal reports-it presents an approach that sheds light on new aspects of psychological phenomena, …",1
Bipedal robotics: A nanotechnology and neurotechnology approach,"Bipedal robotics is a field referred to chiefly developing humanoids and other biologically inspire two legged robots, due to the complex mechanisms and decision making processes …",1
Pain-induced brain plasticity is reversed by pharmacology and neurotechnology,"Department of Neurosurgery, Rhode Island Hospital, Brown Alpert Medical School & Department of Neuroscience, Brown University, Providence, RI 02903",1
"A Pilot, Placebo-controlled Trial of Closed-loop Acoustic Stimulation Neurotechnology for Insomnia (4298)","Objective: Evaluate use of Cereset Research-Standard Operating Procedures® (CR-SOP), a noninvasive, closed-loop, acoustic neuromodulation technology, for insomnia. Background: …",0
"Transpersonal Psychology: Altered States of Consciousness, Biofeedback and Neurotechnology",Transpersonal psychology is the study of human nature and development that assumes that human beings possess potentials that exceed the limits of ego developed normally. The …,0
Accounting Perspectives in a University Context: Applications of Neurotechnology,… simulated model of financial analysis through neurotechnology. The methodology consisted of … This study shows an opportunity to implement neurotechnology techniques as a teaching …,0
Habeas mentem and Neurotechnology: A Brief Introduction to the Ethical Problem of Neurorights Protection,… Neurotechnology advances at ever-increasing speed. We urgently need an independent ethics committee to control both the neurotechnology production and its affordance for mind …,0
